title,authors,length,release_date,price
Dragon's Justice 7,Bruce Sentar,603,2023-07-09,24.95
Everything,Dakota Krout,822,2023-06-21,24.95
The Eighth Harmony,A. F. Kay,873,2023-07-10,24.95
Cartel Queen,JaQuavis Coleman,422,2023-07-10,19.95
Hunted,Suzanne Wright,872,2023-07-06,27.27
Beyond the Story,"BTS, Myeongseok Kang, Anton Hur - translator, Slin Jung - translator, Clare Richards - translator",678,2023-07-09,25.51
Something Unexpected,Vi Keeland,519,2023-07-03,19.95
Hunter's Descent,Alice Winters,559,2023-07-07,19.95
Obsessed,"James Patterson, James O. Born",468,2023-07-10,28.51
Shallow River,H. D. Carlton,782,2023-07-05,24.95
Woods of the Raven,Mary Calmes,459,2023-06-22,19.95
Double Pucked,Lauren Blakely,509,2023-06-30,19.95
Grace Note,J. Bengtsson,709,2023-06-28,24.95
King of Pride,Ana Huang,678,2023-06-15,24.95
One True Loves,Taylor Jenkins Reid,533,2023-06-13,18.89
Devil's Advocate,"T.B. Markinson, Miranda MacLeod",583,2023-06-21,19.95
Unbroken Bonds of Battle,Johnny Joey Jones,510,2023-06-27,31.93
True Blue,Stephen Friend,376,2023-06-12,19.95
La Estrategia Emergente [The Emerging Strategy],Alejandro Salazar Yusti,413,2023-06-21,19.95
Murder in Bermuda,"James Patterson, Aaron Tracy, Thaddeus McCants",240,2023-05-24,24.95
The Truth About the Accident,Nicole Trope,522,2023-06-30,19.95
Fear the Silence,Robert Bryndza,576,2023-07-06,19.95
Aftershock,Joshua Dalzelle,505,2023-06-27,19.95
Rise of the Giants,Steve Gilmore,535,2023-06-22,19.95
One Touch,Lena Hendrix,489,2023-06-30,19.95
Devious Obsession,S. Massery,674,2023-06-29,24.95
Dread and Buried,Angie Fox,565,2023-06-20,19.95
His Pretty Little Burden,Nicci Harris,728,2023-06-27,24.95
Good Fat Is Good for Women,Elizabeth Bright,383,2023-06-16,19.95
Swimming in the Sacred,Rachel Harris PhD,469,2023-06-27,17.49
Breaking Together,Jem Bendell,1093,2023-06-21,24.95
Cold Snap,Toni Anderson,732,2023-06-23,24.95
Too Late,Colleen Hoover,619,2023-06-27,34.95
"Life, Liberty, and the Pursuit of Happiness",Peter Moore,1036,2023-06-27,24.49
Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,563,2023-07-01,17.49
"The False Hero, Volume 7",Michael Plymel,695,2023-06-13,24.95
Diablo: Book of Lorath,Matthew J. Kirby,223,2023-06-12,20.97
Slow Time Between the Stars,John Scalzi,56,2023-06-27,1.99
The Full Fee Agent,"Chris Voss, Steve Shull",306,2023-06-12,19.95
"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)","Travis A. Everett, Andrew Hutz, Mike Meyers - editor",2907,2023-06-27,34.99
Mrs. Pollifax Unveiled,Dorothy Gilman,402,2023-06-27,20.99
Maniac,Onley James,476,2023-06-23,19.95
How I Stole the Princess’s White Knight and Turned Him to Villainy: The Complete Works,AJ Sherwood,902,2023-07-03,24.95
The Theory and Practice of Group Psychotherapy (Sixth Edition),"Irvin D. Yalom, Molyn Leszcz",1808,2023-06-27,27.99
Echoes Fade,Jeff Carson,430,2023-07-06,19.95
Darkkin Knight,John Conroe,804,2023-06-13,24.95
The Rhine River Job,Vince Milam,563,2023-06-21,19.95
Meet Your Match,Kandi Steiner,572,2023-07-03,19.95
Contractually Yours,Nadia Lee,704,2023-06-10,24.95
Traición en Palacio [Betrayal in the Palace],Hernán Gómez Bruera,572,2023-06-26,24.56
Winter’s Gifts,Ben Aaronovitch,329,2023-06-23,17.49
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,532,2023-06-27,25.87
Healing Power,Greg Mitchell,362,2023-06-12,19.95
The Shift,Tinx,317,2023-05-23,17.0
Wet,Cambria Hebert,614,2023-07-03,24.95
The Gift of Violence,"Matt Thornton, Peter Boghossian",567,2023-06-15,19.95
Dark Tide Rising,Jez Cajiao,1292,2023-07-04,24.49
Beyond the Thistles,Samantha Young,612,2023-06-16,24.95
The Shortlist,Andrew Raymond,726,2023-06-14,17.66
